==========================================================================
connectome vs controls -- the only variable is the PN -> KC matrix
==========================================================================
hemibrain v1.2 (CC BY 4.0) - Scheffer et al. 2020, eLife 9:e57443, doi:10.7554/eLife.57443
  157 PN -> 1802 KC, 185,994 synapses in 12,426 traced connections
  KC fan-in: min 1, median 6, mean 6.90, max 21
  68 MBON, each sampling a median of 317 of the 1802 KCs (299,953 synapses)
  322 DAN -> KC, 120,804 synapses

dimensions taken from the connectome: {'n_pn': 157, 'n_kc': 1802, 'k_active': 211}
random arm fan-in set to the connectome median: 6
epochs=400  seeds=[7]  arms=['connectome', 'connectome-shuffled', 'random']
plastic KC -> MBON synapses per arm: 48654

--------------------------------------------------------------------------
ARM connectome   seed 7
--------------------------------------------------------------------------
  epoch 260/400  train-reward 0.509  eval-acc  85.2%  dopa-baseline +1.000  KC active 99
  epoch 265/400  train-reward 0.407  eval-acc  87.7%  dopa-baseline +1.000  KC active 105
  epoch 270/400  train-reward 0.454  eval-acc  88.9%  dopa-baseline +1.000  KC active 110
  epoch 275/400  train-reward 0.546  eval-acc  80.2%  dopa-baseline +1.000  KC active 114
  epoch 280/400  train-reward 0.500  eval-acc  80.2%  dopa-baseline +1.000  KC active 104
  epoch 285/400  train-reward 0.444  eval-acc  85.2%  dopa-baseline +1.000  KC active 104
  epoch 290/400  train-reward 0.491  eval-acc  82.7%  dopa-baseline +1.000  KC active 99
  epoch 295/400  train-reward 0.472  eval-acc  88.9%  dopa-baseline +1.000  KC active 101
  epoch 300/400  train-reward 0.472  eval-acc  84.0%  dopa-baseline +1.000  KC active 111
  epoch 305/400  train-reward 0.528  eval-acc  84.0%  dopa-baseline +1.000  KC active 110
  epoch 310/400  train-reward 0.491  eval-acc  84.0%  dopa-baseline +1.000  KC active 112
  epoch 315/400  train-reward 0.528  eval-acc  82.7%  dopa-baseline +1.000  KC active 109
  epoch 320/400  train-reward 0.528  eval-acc  85.2%  dopa-baseline +1.000  KC active 107
  epoch 325/400  train-reward 0.546  eval-acc  85.2%  dopa-baseline +1.000  KC active 104
  epoch 330/400  train-reward 0.491  eval-acc  86.4%  dopa-baseline +1.000  KC active 97
  epoch 335/400  train-reward 0.426  eval-acc  84.0%  dopa-baseline +1.000  KC active 111
  epoch 340/400  train-reward 0.519  eval-acc  86.4%  dopa-baseline +1.000  KC active 93
  epoch 345/400  train-reward 0.481  eval-acc  87.7%  dopa-baseline +1.000  KC active 103
  epoch 350/400  train-reward 0.454  eval-acc  91.4%  dopa-baseline +1.000  KC active 105
  epoch 355/400  train-reward 0.491  eval-acc  90.1%  dopa-baseline +1.000  KC active 108
  epoch 360/400  train-reward 0.500  eval-acc  92.6%  dopa-baseline +1.000  KC active 103
  epoch 365/400  train-reward 0.565  eval-acc  87.7%  dopa-baseline +1.000  KC active 111
  epoch 370/400  train-reward 0.444  eval-acc  81.5%  dopa-baseline +1.000  KC active 105
  epoch 375/400  train-reward 0.519  eval-acc  85.2%  dopa-baseline +1.000  KC active 97
  epoch 380/400  train-reward 0.602  eval-acc  84.0%  dopa-baseline +1.000  KC active 107
  epoch 385/400  train-reward 0.491  eval-acc  86.4%  dopa-baseline +1.000  KC active 104
  epoch 390/400  train-reward 0.509  eval-acc  86.4%  dopa-baseline +1.000  KC active 103
  epoch 395/400  train-reward 0.398  eval-acc  87.7%  dopa-baseline +1.000  KC active 112
  epoch 400/400  train-reward 0.481  eval-acc  87.7%  dopa-baseline +1.000  KC active 104
  -> holdout 95.1%   converged epoch 98   264.4 s

==========================================================================
SUMMARY
==========================================================================
arm                        mean   spread    conv.ep    seconds
connectome               100.0%     0.0%         54      308.9
connectome-shuffled      100.0%     0.0%         53      240.2
random                    95.1%     0.0%         98      264.4

paired connectome - shuffled, per seed:
  seed 7    +0.0 points  (100.0% vs 100.0%)

wrote C:\Users\user\Documents\Bug bounty\flybrain\runs\connectome_compare.json
checkpoints in runs
